entry_time,exit_time,type,entry_price,exit_price,pnl,balance
2023-06-20 12:30:00,2023-06-20 13:00:00,LONG,1880.5,1886.96,1.077806901802398,15688.50720968352
2023-06-20 13:00:00,2023-06-20 14:30:00,SHORT,1886.96,1874.25,2.1134621468931836,15690.620671830413
2023-06-20 14:30:00,2023-06-20 15:00:00,LONG,1874.25,1879.0,0.7953095712012215,15691.415981401615
2023-06-20 15:00:00,2023-06-20 17:00:00,SHORT,1879.0,1873.61,0.9002313160165649,15692.316212717631
2023-06-20 17:00:00,2023-06-20 20:00:00,LONG,1873.61,1895.97,3.745498695207308,15696.061711412838
2023-06-20 20:00:00,2023-06-20 21:00:00,SHORT,1895.97,1898.18,-0.36591608920207536,15695.695795323636
2023-06-20 21:00:00,2023-06-21 00:30:00,LONG,1898.18,1922.82,4.074871133367461,15699.770666457003
2023-06-21 00:30:00,2023-06-21 01:00:00,SHORT,1922.82,1911.05,1.9220343115236855,15701.692700768526
2023-06-21 01:00:00,2023-06-21 03:30:00,LONG,1911.05,1914.6200000000001,0.5866413012924436,15702.279342069818
2023-06-21 03:30:00,2023-06-21 04:30:00,SHORT,1914.6200000000001,1905.55,1.4877069458438312,15703.767049015662
2023-06-21 04:30:00,2023-06-21 05:00:00,LONG,1905.55,1910.94,0.8883871259656896,15704.655436141627
2023-06-21 05:00:00,2023-06-21 08:30:00,SHORT,1910.94,1903.61,1.2048010334905392,15705.860237175119
2023-06-21 08:30:00,2023-06-21 10:30:00,LONG,1903.61,1894.7,-1.4702508887138441,15704.389986286405
2023-06-21 10:30:00,2023-06-21 12:30:00,SHORT,1894.7,1889.36,0.885221328197305,15705.275207614603
2023-06-21 12:30:00,2023-06-21 14:00:00,LONG,1889.36,1888.98,-0.06317488015933112,15705.212032734444
2023-06-21 14:00:00,2023-06-21 15:00:00,SHORT,1888.98,1871.9099999999999,2.838441586451731,15708.050474320895
2023-06-21 15:00:00,2023-06-21 17:00:00,LONG,1871.9099999999999,1873.55,0.27523975808546186,15708.325714078981
2023-06-21 17:00:00,2023-06-21 18:30:00,SHORT,1873.55,1876.1699999999998,-0.43933509509631685,15707.886378983885
2023-06-21 18:30:00,2023-06-21 20:00:00,LONG,1876.1699999999998,1872.52,-0.6111790006586721,15707.275199983227
2023-06-21 20:00:00,2023-06-21 20:30:00,SHORT,1872.52,1868.12,0.7381711370765346,15708.013371120303
2023-06-21 20:30:00,2023-06-21 22:00:00,LONG,1868.12,1883.04,2.509084635859753,15710.522455756163
2023-06-21 22:00:00,2023-06-21 22:30:00,SHORT,1883.04,1883.6699999999998,-0.10512393945029873,15710.417331816712
2023-06-21 22:30:00,2023-06-21 23:00:00,LONG,1883.6699999999998,1886.49,0.47039425032755955,15710.88772606704
2023-06-21 23:00:00,2023-06-21 23:30:00,SHORT,1886.49,1881.01,0.9127603617177685,15711.800486428758
2023-06-21 23:30:00,2023-06-22 07:00:00,LONG,1881.01,1924.54,7.271994036972088,15719.07248046573
2023-06-22 07:00:00,2023-06-22 07:30:00,SHORT,1924.54,1924.01,0.08657765922918108,15719.159058124958
2023-06-22 07:30:00,2023-06-22 08:00:00,LONG,1924.01,1933.01,1.4705997528404178,15720.629657877798
2023-06-22 08:00:00,2023-06-22 08:30:00,SHORT,1933.01,1927.62,0.8767072478255458,15721.506365125624
2023-06-22 08:30:00,2023-06-22 09:30:00,LONG,1927.62,1939.9,2.003092914202445,15723.509458039827
