time,open,high,low,close,tick_volume,spread,real_volume
2014-10-12,1229.844,1249.37,1221.751,1237.997,6,0,0
2014-10-19,1236.164,1255.06,1226.204,1230.734,6,0,0
2014-10-26,1228.114,1235.328,1161.127,1171.73,6,0,0
2014-11-02,1170.916,1178.514,1131.425,1177.748,6,0,0
2014-11-09,1177.516,1193.443,1146.019,1188.428,6,0,0
2014-11-16,1186.726,1207.6,1175.07,1201.19,6,0,0
2014-11-23,1200.965,1204.05,1165.163,1167.063,6,0,0
2014-11-30,1158.327,1220.862,1142.627,1191.998,6,0,0
2014-12-07,1190.466,1238.095,1187.021,1222.247,6,0,0
2014-12-14,1222.039,1223.999,1183.698,1195.503,6,0,0
2014-12-21,1195.427,1203.113,1170.62,1195.514,6,0,0
2014-12-28,1194.789,1210.372,1167.226,1188.411,6,0,0
2015-01-04,1188.115,1223.861,1177.256,1222.998,6,0,0
2015-01-11,1223.055,1281.807,1217.463,1280.287,6,0,0
2015-01-18,1280.045,1307.178,1272.009,1294.084,6,0,0
2015-01-25,1293.783,1298.97,1251.874,1283.266,6,0,0
2015-02-01,1281.812,1285.538,1228.355,1232.828,6,0,0
2015-02-08,1236.036,1245.716,1216.653,1229.425,6,0,0
2015-02-15,1227.513,1236.44,1197.533,1201.662,6,0,0
2015-02-22,1203.335,1219.828,1189.176,1212.857,6,0,0
2015-03-01,1213.676,1223.072,1163.694,1167.03,6,0,0
2015-03-08,1168.106,1175.194,1147.424,1158.162,6,0,0
2015-03-15,1155.866,1187.806,1142.795,1182.294,6,0,0
2015-03-22,1185.786,1219.439,1179.241,1198.111,6,0,0
2015-03-29,1197.704,1208.417,1178.413,1202.651,6,0,0
2015-04-05,1216.208,1224.052,1192.509,1206.962,6,0,0
2015-04-12,1207.046,1209.313,1183.907,1203.553,6,0,0
2015-04-19,1203.896,1208.948,1175.153,1179.21,6,0,0
2015-04-26,1178.866,1214.997,1170.069,1178.224,6,0,0
2015-05-03,1178.171,1199.736,1177.611,1187.986,6,0,0
2015-05-10,1188.746,1227.031,1178.854,1223.911,6,0,0
2015-05-17,1225.165,1232.227,1201.452,1205.767,6,0,0
2015-05-24,1204.983,1209.094,1180.36,1190.302,6,0,0
2015-05-31,1193.505,1204.168,1162.671,1171.494,6,0,0
2015-06-07,1170.944,1192.171,1169.497,1181.321,6,0,0
2015-06-14,1183.635,1205.573,1172.737,1199.837,6,0,0
2015-06-21,1198.476,1199.916,1168.761,1174.609,6,0,0
2015-06-28,1185.046,1187.299,1156.976,1168.528,6,0,0
2015-07-05,1174.345,1174.345,1147.132,1163.17,6,0,0
2015-07-12,1162.899,1164.111,1131.088,1134.344,6,0,0
2015-07-19,1131.787,1132.828,1077.035,1098.873,6,0,0
2015-07-26,1097.191,1104.891,1079.928,1095.192,6,0,0
2015-08-02,1094.678,1099.408,1080.935,1093.926,6,0,0
2015-08-09,1093.068,1126.468,1089.633,1114.75,6,0,0
2015-08-16,1114.347,1168.079,1109.468,1159.948,6,0,0
2015-08-23,1161.588,1169.82,1117.672,1133.358,6,0,0
2015-08-30,1132.589,1147.685,1116.425,1121.936,6,0,0
2015-09-06,1122.396,1126.592,1098.676,1107.348,6,0,0
2015-09-13,1106.728,1141.579,1102.467,1138.473,6,0,0
2015-09-20,1137.62,1156.568,1121.261,1145.77,6,0,0
2015-09-27,1146.317,1148.079,1104.518,1137.928,6,0,0
2015-10-04,1137.037,1159.558,1130.052,1155.392,6,0,0
2015-10-11,1155.275,1191.352,1151.781,1176.624,6,0,0
2015-10-18,1175.687,1180.527,1158.86,1164.248,6,0,0
2015-10-25,1163.54,1182.804,1139.022,1141.8,6,0,0
2015-11-01,1141.734,1142.837,1085.382,1087.548,6,0,0
2015-11-08,1089.728,1095.582,1074.039,1081.866,6,0,0
2015-11-15,1089.638,1097.928,1064.144,1077.067,6,0,0
2015-11-22,1077.02,1080.944,1052.597,1057.395,6,0,0
2015-11-29,1056.825,1088.69,1046.247,1086.763,6,0,0
2015-12-06,1086.192,1086.491,1062.323,1077.054,6,0,0
2015-12-13,1075.026,1078.206,1047.593,1066.103,6,0,0
2015-12-20,1065.888,1081.589,1063.783,1076.181,5,0,0
2015-12-27,1075.916,1076.856,1057.879,1060.965,5,0,0
2016-01-03,1061.955,1112.866,1061.692,1103.908,6,0,0
2016-01-10,1103.761,1108.3,1071.34,1087.933,6,0,0
2016-01-17,1089.391,1109.512,1082.486,1097.546,6,0,0
2016-01-24,1097.285,1127.933,1097.135,1117.593,6,0,0
2016-01-31,1117.575,1174.362,1115.272,1174.009,6,0,0
2016-02-07,1173.366,1263.254,1164.179,1237.77,6,0,0
2016-02-14,1231.077,1239.627,1190.745,1228.843,6,0,0
2016-02-21,1225.047,1252.99,1201.853,1224.221,6,0,0
2016-02-28,1223.222,1279.607,1215.496,1260.74,6,0,0
2016-03-06,1260.226,1283.454,1236.989,1249.174,6,0,0
2016-03-13,1250.808,1270.768,1225.529,1254.899,6,0,0
2016-03-20,1255.077,1259.614,1212.121,1216.826,6,0,0
2016-03-27,1214.006,1243.854,1205.978,1221.495,6,0,0
2016-04-03,1219.937,1243.072,1214.476,1238.997,6,0,0
2016-04-10,1244.914,1262.434,1223.759,1233.383,6,0,0
2016-04-17,1235.775,1270.053,1227.339,1231.716,6,0,0
2016-04-24,1231.514,1296.518,1229.936,1292.678,6,0,0
2016-05-01,1292.365,1303.586,1268.751,1286.968,6,0,0
2016-05-08,1286.769,1287.405,1256.786,1273.064,6,0,0
2016-05-15,1272.58,1288.529,1243.766,1251.574,6,0,0
2016-05-22,1251.68,1255.886,1206.706,1212.266,6,0,0
2016-05-29,1208.972,1244.591,1199.566,1243.73,6,0,0
2016-06-05,1244.45,1278.027,1234.727,1273.736,6,0,0
2016-06-12,1276.55,1315.429,1272.35,1298.037,6,0,0
2016-06-19,1293.845,1358.069,1250.359,1315.407,6,0,0
2016-06-26,1322.688,1344.314,1305.332,1340.675,6,0,0
2016-07-03,1341.568,1374.993,1335.366,1365.92,6,0,0
2016-07-10,1372.62,1372.76,1320.116,1336.795,6,0,0
2016-07-17,1330.51,1337.034,1310.551,1321.794,6,0,0
2016-07-24,1321.038,1354.815,1311.947,1350.72,6,0,0
2016-07-31,1350.739,1367.07,1334.558,1335.196,6,0,0
2016-08-07,1332.928,1357.048,1329.774,1335.298,6,0,0
2016-08-14,1337.168,1357.892,1335.654,1340.98,6,0,0
2016-08-21,1338.539,1344.486,1317.952,1320.627,6,0,0
2016-08-28,1319.637,1329.778,1302.388,1324.674,6,0,0
2016-09-04,1324.728,1352.408,1321.696,1327.497,6,0,0
2016-09-11,1328.609,1331.842,1306.158,1309.835,6,0,0
2016-09-18,1309.789,1343.494,1307.516,1337.129,6,0,0
2016-09-25,1336.639,1341.928,1313.092,1315.103,6,0,0
